%
% ID - oznaczenie gwiazdy
% RA - rektascencja
% Dec - deklinacja
% VMax - maksimum blasku
% VMin - minimum blasku
% P - okres zmian blasku
% Type - typ zmienno"sci: RR0, RR1, RR2, RR01
% Blazhko - Bl je"sli gwiazda wykazuje efekt Bla"zki
%
%ID     RA         Dec       VMax  VMin      P    Type Blazhko
%     h:m:s       d:m:s      mag   mag       d
%
 191 13:42:11.63 28:23:06.0 15.1  16.1  0.512     RR0
 192 13:42:11.31 28:22:46.9 15.0  16.1  0.525     RR0
 193 13:42:12.60 28:22:35.8 14.8  16.3  0.630     RR0
 194 13:42:12.75 28:22:30.2 15.1  16.4  0.549     RR0
 195 13:42:10.49 28:22:14.9 15.0  16.2  0.600     RR0
 197 13:42:15.91 28:22:52.2 15.1  16.5  0.500075  RR0
 198 13:42:09.75 28:22:57.9 15.2  16.0  0.3617    RR1
 201 13:42:11.78 28:22:34.0 15.1  16.1  0.541333  RR0
 203 13:42:09.45 28:17:30.6 15.56 15.72 0.28719   RR2
 205 13:40:47.60 28:33:26.1 15.4  16.2  0.6369126 RR0
 206 13:42:20.31 27:53:51.3 14.8  16.1  0.5093832 RR0
 211 13:42:07.40 28:22:49.4 14.6  15.7  0.557798  RR0
 212 13:42:09.87 28:22:04.4 15.2  16.2  0.542196  RR0
 214 13:42:13.93 28:22:48.9 14.6  15.6  0.539493  RR0
 218 13:42:13.62 28:22:13.2 14.5  15.7  0.543774  RR0
 222 13:42:18.76 28:21:39.2 14.9  15.9  0.596764  RR0
 226 13:42:12.98 28:22:24.2 14.95 16.12 0.4884295 RR0
