%
%  no - oznaczenie gwiazdy
%  V - jasno"s"c w filtrze V
%  I - jasno"s"c w filtrze I
%  err_V - b"l"ad jasno"sci V
%  N_V - ilo"s"c obserwacji w filtrze V
%  N_I - ilo"s"c obserwacji w filtrze I
%  x - wsp"o"lrz"edna x na obrazie CCD (po"lno"c to -x) 
%  y - wsp"o"lrz"edna y na obrazie CCD (wsch"od to +y)
%
%  no    V       I    err_V   N_V N_I     x       y 
%       mag     mag    mag               
%
  239 15.6237 14.4166 0.0005 1835 678  623.84  163.01 
  240 16.2618 14.4268 0.0005 1829 691  602.38  363.55 
  241 16.4985 14.4160 0.0010 1823 682  365.59 1203.50 
  242 16.0525 14.4454 0.0006 1852 681  231.62  697.63 
  243 16.1490 14.4494 0.0007 1826 671  106.98  160.28 
  244 15.7879 14.4580 0.0008 1615 632  780.32  727.41 
  245 16.9386 14.4179 0.0011 1763 663  537.30 1226.49 
  246 15.9840 14.4603 0.0006 1780 679  577.08  760.74 
  247 16.0252 14.4769 0.0005 1822 672  594.40  622.35 
  248 15.9465 14.4729 0.0007 1854 689  587.02 1167.83 
  249 15.9359 14.4993 0.0009 1819 667 1099.53  206.47 
  250 15.9073 14.5234 0.0009 1764 653 1133.86  354.67 
  251 16.1074 14.5192 0.0009 1732 659  246.21  995.46 
  252 15.7870 14.3867 0.0006 1638 496  548.91  129.31 
  253 15.9217 14.5663 0.0005 1845 684  692.37  680.00 
  254 16.2226 14.5665 0.0006 1829 677  880.43  421.24 
  255 16.3231 14.5461 0.0029 1506 630  246.30  756.00 
  256 16.9309 14.5311 0.0011 1732 671 1009.01 1104.12 
  257 16.5620 14.5828 0.0008 1824 667 1108.52  662.77 
  258 16.7811 14.5753 0.0012 1782 678   26.57  884.27 
  259 16.0569 14.5913 0.0007 1757 662  551.48  575.16 
  260 15.9508 14.5843 0.0008 1843 679  878.60 1174.61 
  261 15.6797 14.6074 0.0006 1811 670  592.68  195.72 
  262 16.6243 14.5907 0.0007 1847 677  157.17  485.68 
  263 15.8315 14.5778 0.0026 1496 578  701.25  982.87 
  264 16.0863 14.6076 0.0011 1721 650 1003.41  138.83 
  265 16.1795 14.6187 0.0005 1836 677  631.68  956.29 
  266 16.1046 14.6607 0.0009 1590 627  464.45  693.23 
  267 17.2065 14.6371 0.0010 1810 683  953.62 1103.61 
  268 16.1121 14.6769 0.0006 1731 672  329.32  638.50 
  269 16.0986 14.6796 0.0013 1717 672   20.97 1004.32 
  270 16.0180 14.6709 0.0006 1799 655  227.26  322.93 
  271 16.6371 14.6377 0.0011 1543 635  437.52   49.15 
  272 16.8231 14.6059 0.0012 1510 630  396.09  987.58 
  273 16.8851 14.6681 0.0008 1808 678  713.76  116.71 
  274 17.0408 14.6794 0.0012 1753 659  480.81 1226.07 
  275 16.1362 14.7230 0.0006 1805 673  225.11  547.35 
  276 16.3709 14.7085 0.0007 1834 674 1082.14  888.36 
  277 16.6288 14.7099 0.0007 1743 667  636.78  545.06 
  278 16.6957 14.7027 0.0009 1780 678  859.10   83.79 
  279 16.9833 14.6783 0.0016 1446 651  813.17  399.14 
  280 16.2018 14.7265 0.0006 1842 683  595.73  162.90 
  281 16.1791 14.7405 0.0008 1806 677  457.67  471.22 
  282 16.0352 14.7387 0.0006 1845 690  574.61  238.12 
  283 16.8550 14.7329 0.0007 1796 681  628.43  884.85 
  284 16.2425 14.7592 0.0006 1820 685  612.83  572.19 
  285 15.9222 14.7743 0.0007 1718 651  699.38  649.35 
  286 16.0303 14.7190 0.0011 1435 559  387.70   18.97 
  287 16.3456 14.7779 0.0007 1842 685  176.68  680.19 
  289 16.2445 14.7878 0.0008 1844 676 1022.26 1055.81 
